Kwota;Typ dostępu;Czas dostępu
2089,05;Całość;2 Lata
1999;Całość;Rok
1899,05;Całość;2 Lata
1859,07;Całość;2 Lata
1799,1;Całość;2 Lata
1799;Całość;Rok
1759,12;Całość;Rok
1739,13;Całość;Rok
1699,15;Całość;Rok
1599,2;Całość;Rok
1599;Całość;Rok
1499;Całość;Rok
1490;Całość;Rok
1439,2;Całość;Rok
1415,5;Całość;Rok
1399;Całość;Rok
1389,07;Całość;Rok
1349,72;Całość;Rok
1349,25;Całość;Rok
1341;Całość;Rok
1329,05;Całość;Rok
1317,83;Całość;Rok
1300;Całość;Rok
1299;Całość;Rok
1279,2;Całość;Rok
1274,15;Całość;Rok
1234,05;Całość;Rok
1199;Całość;Rok
1192;Całość;Rok
1189,74;Całość;Rok
1187,13;Całość;Rok
1169,1;Całość;Rok
1139,05;Całość;Rok
1099;Całość;Rok
1044,05;Całość;Rok
1022,07;Całość;Rok
999;Całość;Rok
990;Całość;Rok
965,18;Całość;Rok
959,2;Całość;Rok
959,2;Całość;Rok
910,8;Całość;Rok
900,98;Całość;Rok
891;Całość;Rok
890;Całość;Rok
881,1;Całość;Rok
879,2;Całość;Rok
871,2;Całość;Rok
831,6;Całość;Rok
820;Całość;Rok
801;Całość;Rok
792;Całość;Rok
791;Całość;Rok
756,5;Całość;Rok
712;Całość;Rok
712;Całość;Rok
690;Całość;Rok
607,2;Kurs;Rok
597;Kurs;Rok
495;Kurs;Rok
445,5;Kurs;Rok
445;Kurs;Rok
396;Kurs;Rok
378,25;Kurs;Rok
356,31;Kurs;Rok
356;Kurs;Rok
345;Kurs;Rok
308,6;Kurs;Rok
276;Kurs;Rok
249;Całość;Miesiąc
236,55;Całość;Miesiąc
231,57;Całość;Miesiąc
224,1;Całość;Miesiąc
219;Kurs;Rok
216,63;Całość;Miesiąc
211,65;Całość;Miesiąc
208,05;Całość;Miesiąc
199,2;Całość;Miesiąc
199;Całość;Miesiąc
199;Całość;Miesiąc
198;Kurs;Rok
189,05;Całość;Miesiąc
185,07;Całość;Miesiąc
179,1;Całość;Miesiąc
179;Całość;Miesiąc
175,12;Całość;Miesiąc
169;Całość;Miesiąc
160,55;Całość;Miesiąc
159,2;Całość;Miesiąc
157,17;Całość;Miesiąc
152,1;Całość;Miesiąc
149,25;Całość;Miesiąc
143,2;Całość;Miesiąc
135,2;Całość;Miesiąc
124,5;Kurs;Miesiąc
99;Całość;Miesiąc
92,07;Całość;Miesiąc
91,08;Całość;Miesiąc
89,1;Całość;Miesiąc
89;Całość;Miesiąc
88,11;Całość;Miesiąc
87,12;Całość;Miesiąc
84,5;Kurs;Miesiąc
84,15;Kurs;Miesiąc
80,1;Całość;Miesiąc
79,2;Całość;Miesiąc
75,65;Całość;Miesiąc
71,2;Całość;Miesiąc
69;Całość;Miesiąc
55,2;Całość;Miesiąc
35,6;Kurs;Miesiąc
