Data transakcji;Klient;Kwota;Nr Transakcji;Wiek_Msc;LTV Narastajaco
2023-11-05 18:04:23.495;1;35,6;1;0;35,6
2023-11-05 18:18:50.352;2;89,0;1;0;89,0
2023-11-05 20:49:31.816;2;356,31;2;0;445,31
2024-05-05 22:50:21.486;2;445,0;3;6;890,31
2024-11-05 21:51:13.699;2;445,0;4;12;1335,31
2023-11-05 18:23:21.986;3;378,25;1;0;378,25
2024-05-05 20:24:14.638;3;378,25;2;6;756,5
2024-11-05 19:24:28.560;3;378,25;3;12;1134,75
2025-05-05 20:24:51.878;3;378,25;4;18;1513,0
2025-11-05 19:26:53.592;3;378,25;5;24;1891,25
2023-11-05 18:31:17.069;4;75,65;1;0;75,65
2023-12-05 19:35:34.147;4;75,65;2;1;151,3
2024-01-05 19:32:33.145;4;75,65;3;2;226,95
2024-02-05 19:32:25.278;4;75,65;4;3;302,6
2023-11-05 18:37:02.766;5;75,65;1;0;75,65
2023-12-05 19:41:37.055;5;75,65;2;1;151,3
2024-01-05 19:38:06.933;5;75,65;3;2;226,95
2024-02-05 19:37:47.196;5;75,65;4;3;302,6
2024-03-05 19:38:19.405;5;75,65;5;4;378,25
2024-04-05 20:37:48.362;5;75,65;6;5;453,9
2024-05-05 20:38:19.137;5;75,65;7;6;529,55
2024-06-05 20:38:27.983;5;75,65;8;7;605,2
2023-11-05 19:00:53.935;6;801,0;1;0;801,0
2024-11-05 20:01:55.121;6;801,0;2;12;1602,0
2025-11-05 20:02:41.793;6;801,0;3;24;2403,0
2023-11-05 20:18:29.731;7;75,65;1;0;75,65
2023-12-05 21:21:59.975;7;75,65;2;1;151,3
2024-01-05 21:20:28.618;7;75,65;3;2;226,95
2024-02-05 21:19:22.700;7;75,65;4;3;302,6
2024-03-05 21:19:33.248;7;75,65;5;4;378,25
2024-04-05 22:20:37.275;7;75,65;6;5;453,9
2024-05-05 22:19:36.785;7;75,65;7;6;529,55
2024-06-05 22:19:53.380;7;75,65;8;7;605,2
2024-07-05 22:19:05.435;7;75,65;9;8;680,85
2024-10-05 22:20:38.773;7;75,65;10;11;756,5
2024-11-05 21:19:58.814;7;75,65;11;12;832,15
2024-12-05 21:19:46.906;7;75,65;12;13;907,8
2025-01-05 21:19:38.930;7;75,65;13;14;983,45
2025-02-05 21:20:00.136;7;75,65;14;15;1059,1
2025-03-05 21:20:24.083;7;75,65;15;16;1134,75
2025-04-05 22:19:00.919;7;75,65;16;17;1210,4
2025-05-05 22:19:34.030;7;75,65;17;18;1286,05
2025-06-05 22:19:32.451;7;75,65;18;19;1361,7
2025-07-05 22:20:01.186;7;75,65;19;20;1437,35
2025-08-05 22:23:01.690;7;75,65;20;21;1513,0
2025-09-05 22:22:44.522;7;75,65;21;22;1588,65
2025-10-05 22:22:44.753;7;75,65;22;23;1664,3
2025-11-05 21:20:10.228;7;75,65;23;24;1739,95
2025-12-05 21:20:10.462;7;75,65;24;25;1815,6
2026-01-05 21:20:03.729;7;75,65;25;26;1891,25
2026-02-05 21:22:12.200;7;75,65;26;27;1966,9
2026-03-05 21:19:03.289;7;75,65;27;28;2042,55
2023-11-05 20:55:07.060;8;75,65;1;0;75,65
2023-12-05 21:58:24.734;8;75,65;2;1;151,3
2024-01-05 21:56:08.315;8;75,65;3;2;226,95
2024-02-05 21:55:53.312;8;75,65;4;3;302,6
2024-03-05 21:55:59.141;8;75,65;5;4;378,25
2024-04-05 22:55:50.534;8;75,65;6;5;453,9
2024-05-05 22:56:13.729;8;75,65;7;6;529,55
2024-06-05 22:55:49.716;8;75,65;8;7;605,2
2024-07-05 22:56:19.943;8;75,65;9;8;680,85
2024-08-05 22:56:15.114;8;75,65;10;9;756,5
2024-09-05 22:56:27.752;8;75,65;11;10;832,15
2023-11-05 21:43:32.964;9;756,5;1;0;756,5
2024-11-05 22:44:17.283;9;756,5;2;12;1513,0
2023-11-05 21:48:37.484;10;75,65;1;0;75,65
2023-12-05 22:50:20.659;10;75,65;2;1;151,3
2024-01-05 22:49:48.507;10;75,65;3;2;226,95
2024-02-05 22:49:29.367;10;75,65;4;3;302,6
2024-03-05 22:50:31.972;10;75,65;5;4;378,25
2024-04-05 23:49:51.342;10;75,65;6;5;453,9
2024-05-05 23:49:59.621;10;75,65;7;6;529,55
2024-06-05 23:49:35.921;10;75,65;8;7;605,2
2024-07-05 23:49:56.499;10;75,65;9;8;680,85
2024-08-05 23:49:21.189;10;75,65;10;9;756,5
2024-09-05 23:49:45.012;10;75,65;11;10;832,15
2024-10-05 23:50:02.162;10;75,65;12;11;907,8
2024-11-05 22:49:30.824;10;75,65;13;12;983,45
2024-12-05 22:49:38.416;10;75,65;14;13;1059,1
2025-01-05 22:49:53.881;10;75,65;15;14;1134,75
2025-02-05 22:50:19.380;10;75,65;16;15;1210,4
2025-03-05 22:50:01.481;10;75,65;17;16;1286,05
2025-04-05 23:50:00.935;10;75,65;18;17;1361,7
2025-05-05 23:49:51.263;10;75,65;19;18;1437,35
2025-06-05 23:49:09.537;10;75,65;20;19;1513,0
2025-07-05 23:51:35.275;10;75,65;21;20;1588,65
2025-08-05 23:49:51.309;10;75,65;22;21;1664,3
2025-09-05 23:49:34.091;10;75,65;23;22;1739,95
2025-10-05 23:52:37.370;10;75,65;24;23;1815,6
