Klient;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;Suma_Miesiecy;Wrocil;Typ_Ceny;Staly_Klient;Pierwsza płatność;Ostatnia płatność;Kohorta;Grupa Kohort;Czas dostępu;Zmiana planu;Status_Sub;LTV_Total
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Promocyjna;Nie;2023-11-05;2023-11-05;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;35,6
2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;24;0;Promocyjna;Tak;2023-11-05;2024-11-05;11.2023;1. Początek;Miesiąc;Upgrade;Wygasły;1335,31
3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Promocyjna;Tak;2023-11-05;2025-11-05;11.2023;1. Początek;Rok;Stabilne;Aktywny;1891,25
4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;Promocyjna;Nie;2023-11-05;2024-02-05;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;302,6
5;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;Promocyjna;Nie;2023-11-05;2024-06-05;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;605,2
6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-05;2025-11-05;11.2023;1. Początek;Rok;Stabilne;Aktywny;2403,0
7;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;27;1;Promocyjna;Tak;2023-11-05;2026-03-05;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;2042,5500000000002
8;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;Promocyjna;Nie;2023-11-05;2024-09-05;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;832,1500000000001
9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;24;0;Promocyjna;Tak;2023-11-05;2024-11-05;11.2023;1. Początek;Rok;Stabilne;Wygasły;1513,0
10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;24;0;Promocyjna;Tak;2023-11-05;2025-10-05;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;1815,6000000000001
11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;25;0;Promocyjna;Tak;2023-11-05;2025-11-05;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;1891,2500000000002
12;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;Standardowa;Nie;2023-11-05;2024-06-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;712,0
13;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;Standardowa;Nie;2023-11-06;2024-03-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;445,0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Promocyjna;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;75,65
15;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Rok;Stabilne;Wygasły;890,0
16;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Promocyjna;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Rok;Stabilne;Wygasły;756,5
17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Promocyjna;Tak;2023-11-06;2026-03-06;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;2193,8500000000004
18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-06;2025-11-06;11.2023;1. Początek;Rok;Stabilne;Aktywny;2670,0
19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Promocyjna;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;80,1
20;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Rok;Stabilne;Wygasły;712,0
